	claude-3-5-haiku-latest
ADJ	2.5925157795555354
soneto	2.065198651973679
completamente	2.0270655521586547
profundamente	1.110745566957408
lenguaje	1.089898863239378
estructura	1.0734306853631386
existencial	1.0282061170722199
comicidad	1.0075619205793054
:	1.0067828785736137
referencias	0.984713923717654
)	0.9832621153431126
(	0.9832621153431126
alejándose	0.9640986311470079
último	0.8916402691611319
elemento	0.8760225748485394
poético	0.8431140909200503
culto	0.8275842466469905
usa	0.8000965646797767
poeta	0.7807587020445308
deliberadamente	0.7598608701635983
paródico	0.757310681818258
utilizando	0.7445835756634935
genera	0.7426030673557599
mediante	0.7397371551023523
sino	0.7396148108093226
burlesca	0.7359226241180584
satírico	0.7353545821881021
casi	0.7262220341504197
terceto	0.6843994185765939
expresiones	0.6769402651575964

	claude-3-5-sonnet-latest
ADJ	2.887145170156576
soneto	2.311569631718721
completamente	1.5036360481252158
estructura	1.3541834444311807
poeta	1.3324394751469024
sino	1.1976607962407881
efecto	1.1388936666251948
comicidad	1.1196255121946046
)	1.0440298734745033
(	1.0440298734745033
varios	1.0272776811333395
expresiones	0.9971309725100391
:	0.9771427544692994
genera	0.9719722188334492
dramático	0.943078744505864
existencial	0.9370359212546888
tradicional	0.9357914868545701
alejándose	0.9057898239441627
usa	0.9016299426001553
culto	0.8964024631794438
surge	0.8697183283732175
mediante	0.8329522124703159
utilizando	0.8092867862137975
lenguaje	0.8081702971478621
PUNCT	0.7919591745128316
profundamente	0.7883420955266648
mordaz	0.7481090239029295
elaborado	0.7432979864888257
elemento	0.7322474319686136
resistencia	0.7251977959180621

	gpt-35-turbo
además	2.633136609429039
exageración	2.3295695240204513
cómico	2.0988329531637024
debido	1.9292427314001148
trata	1.7038415578858828
hacen	1.6861863610899865
poema	1.6652184009635314
descripción	1.5814459547032014
ADP	1.5644820388222518
AUX	1.4889029981174517
exagerada	1.4470841294350638
SCONJ	1.4419324338785116
resultar	1.3087676968205555
forma	1.2495168269555548
toque	1.1795402328839386
humorístico	1.168656496647935
exagerado	1.1576455617236263
resulta	1.1236165495223756
lectores	1.0406576133165468
considera	1.0314582888619794
contiene	0.9871539894224679
combinación	0.9631244503326376
idea	0.9418755269336594
lector	0.9293893387799941
comparación	0.917034528988201
sentimientos	0.8852798541708983
divertido	0.8176969721699069
situación	0.81566047784273
sarcástico	0.8002188842866252
puede	0.7990103176268671

	gpt-4o
debido	2.1438562486004185
CCONJ	1.9333724657495672
formal	1.7924983205297804
.	1.771055958760174
cómica	1.595886495371713
serio	1.4303531415227526
embargo	1.4118476456179934
sorpresa	1.3359451628394565
elevado	1.271540692675686
temas	1.2354376331895853
emplea	1.2157084163277774
elección	1.2107208550393724
poema	1.1827876400653983
entretenimiento	1.180828667356909
típicos	1.1607101332462426
ligero	1.138042073424562
utilizado	1.1278035687553765
contenido	1.1220078418212762
remate	1.1069113216444257
lugar	1.0897954393053493
intención	1.061968371555322
común	1.0595123371712067
situaciones	1.0206156417171026
suelen	1.0160313729769492
comedia	0.9899596264372511
ridículas	0.987355846625336
utiliza	0.9818734349293945
ADV	0.973060064699654
NOUN	0.9462928188744231
características	0.9400532925293796

	gpt-4o-mini
,	4.449277999202824
PRON	3.393202740559059
aunque	2.9335262654431555
presenta	2.8601139488636713
través	2.1316747116620354
hablante	2.038325606310544
enfoque	2.0081387387360374
resumen	1.8812138797765834
sugiere	1.7964917522056827
DET	1.6918209165285514
uso	1.6449493444938417
'	1.624488208047975
puede	1.5352248845114298
belleza	1.481895009727104
refuerza	1.447654893629694
risa	1.4244600277300985
evoca	1.3699776503256147
contexto	1.3547543866204719
aleja	1.3414269822812082
ADP	1.331899753001433
SCONJ	1.239647613045409
invita	1.2019327872511705
imágenes	1.1774548217260368
presentado	1.127306609349844
largo	1.125728779642769
.	1.1249692845825954
convierte	1.122722464173353
vida	1.1056625412924552
así	1.093284703356264
situaciones	1.0873459956026912

